mode,threads,size,time_ms
seq,1,1000000,24992.371
bsp,1,1000000,25056.751
bsp,2,1000000,14651.740
bsp,4,1000000,8136.314
bsp,8,1000000,4515.751
bsp,16,1000000,3253.057
pipeline,1,1000000,30137.863
pipeline,2,1000000,16568.474
pipeline,4,1000000,9092.395
pipeline,8,1000000,4816.065
pipeline,16,1000000,2861.023
ws,1,1000000,27084.518
ws,2,1000000,14966.895
ws,4,1000000,8468.208
ws,8,1000000,4843.800
ws,16,1000000,3240.804
seq,1,2500000,33823.388
bsp,1,2500000,33505.854
bsp,2,2500000,17273.920
bsp,4,2500000,9009.567
bsp,8,2500000,5497.869
bsp,16,2500000,4360.065
pipeline,1,2500000,37647.234
pipeline,2,2500000,18566.183
pipeline,4,2500000,9661.950
pipeline,8,2500000,6010.947
pipeline,16,2500000,4017.200
ws,1,2500000,34605.864
ws,2,2500000,17687.920
ws,4,2500000,9528.460
ws,8,2500000,5726.486
ws,16,2500000,4383.417
